158023,Lionel Andres Messi Cuccittini,"RW, ST, CF"
20801,Cristiano Ronaldo dos Santos Aveiro,"ST, LW"
200389,Jan Oblak,GK
188545,Robert Lewandowski,ST
190871,Neymar da Silva Santos Junior,"LW, CAM"
192985,Kevin De Bruyne,"CAM, CM"
231747,Kylian Mbappe Lottin,"ST, LW, RW"
192448,Marc-Andre ter Stegen,GK
203376,Virgil van Dijk,CB
212831,Alisson Ramses Becker,GK
208722,Sadio Mane,LW
209331,Mohamed Salah Ghaly,RW
192119,Thibaut Courtois,GK
153079,Sergio Leonel Aguero del Castillo,ST
155862,Sergio Ramos Garcia,CB
165153,Karim Benzema,"CF, ST"
167495,Manuel Neuer,GK
200145,Carlos Henrique Venancio Casimiro,CDM
210257,Ederson Santana de Moraes,GK
202652,Raheem Shaquille Sterling,"LW, RW"
212622,Joshua Kimmich,"CDM, RB"
202126,Harry Kane,ST
211110,Paulo Bruno Exequiel Dybala,"CF, CAM"
162835,Samir Handanovic,GK
182521,Toni Kroos,CM
183277,Eden Hazard,"LW, ST"
201024,Kalidou Koulibaly,CB
215914,N'Golo Kante,"CDM, CM"
233049,Jadon Sancho,"RM, LM, CAM"
231281,Trent Alexander-Arnold,RB
212198,Bruno Miguel Borges Fernandes,"CAM, CM"
212218,Aymeric Laporte,CB
209499,Fabio Henrique Tavares,CDM
216267,Andrew Robertson,LB
218667,Bernardo Mota Veiga de Carvalho e Silva,"RW, CAM, CM"
138956,Giorgio Chiellini,CB
167948,Hugo Lloris,GK
176580,Luis Alberto Suarez Diaz,ST
177003,Luka Modric,CM
183898,Angel Fabian Di Maria Hernandez,"RW, LW"
186153,Wojciech Szczesny,GK
188567,Pierre-Emerick Aubameyang,"ST, LW"
189511,Sergio Busquets i Burgos,CDM
192387,Ciro Immobile,ST
193041,Keylor Navas Gamboa,GK
194765,Antoine Griezmann,"ST, CF, LW"
200104,H. Son,"LM, CF"
201942,Roberto Firmino Barbosa de Oliveira,CF
201535,Raphael Varane,CB
195864,Paul Pogba,"CM, CDM"
199556,Marco Verratti,"CM, CDM"
143076,Alejandro Dario Gomez,"CAM, CF, ST"
152729,Gerard Pique Bernabeu,CB
168542,David Josue Jimenez Silva,"CAM, CM"
177683,Yann Sommer,GK
178603,Mats Hummels,CB
183711,Jordan Brian Henderson,"CDM, CM"
189332,Jordi Alba Ramos,LB
189596,Thomas Muller,"CAM, RM, RW"
193080,David De Gea Quintana,GK
204963,Daniel Carvajal Ramos,RB
208830,Jamie Vardy,ST
235790,Kai Havertz,"CAM, RM, CF"
230621,Gianluigi Donnarumma,GK
235243,Matthijs de Ligt,CB
231677,Marcus Rashford,"LM, ST"
222492,Leroy Sane,LM
228702,Frenkie de Jong,CM
207865,Marcos Aoas Correa,"CB, CDM"
